model_id,model,condition,task_type,n_scenarios,n,n_correct,accuracy,ci_low,ci_high,scenario_macro_accuracy
deepseek_v4_flash,deepseek/deepseek-v4-flash,RAG_REVISED,IN_FLIGHT_CONTINGENCY,4,27,17,0.6296296296296297,0.53125,0.7272727272727273,0.70625
deepseek_v4_flash,deepseek/deepseek-v4-flash,RAG_REVISED,OPTION_SELECTION,4,12,12,1.0,1.0,1.0,1.0
deepseek_v4_flash,deepseek/deepseek-v4-flash,RAG_REVISED,PRE_FLIGHT_AUTHORIZATION,15,126,70,0.5555555555555556,0.4263565891472868,0.6825396825396826,0.5729100529100529
deepseek_v4_flash,deepseek/deepseek-v4-flash,RAG_REVISED,RESOURCE_OR_POLICY_DECISION,10,84,51,0.6071428571428571,0.4883720930232558,0.7325581395348837,0.605
deepseek_v4_flash,deepseek/deepseek-v4-flash,RAG_REVISED,RETROSPECTIVE_COMPLIANCE,2,2,2,1.0,1.0,1.0,1.0
deepseek_v4_flash,deepseek/deepseek-v4-flash,RAW,IN_FLIGHT_CONTINGENCY,4,27,8,0.2962962962962963,0.16,0.45454545454545453,0.44375
deepseek_v4_flash,deepseek/deepseek-v4-flash,RAW,OPTION_SELECTION,4,12,6,0.5,0.0,0.72,0.1875
deepseek_v4_flash,deepseek/deepseek-v4-flash,RAW,PRE_FLIGHT_AUTHORIZATION,15,126,50,0.3968253968253968,0.2595419847328244,0.5378787878787878,0.39669312169312165
deepseek_v4_flash,deepseek/deepseek-v4-flash,RAW,RESOURCE_OR_POLICY_DECISION,10,84,34,0.40476190476190477,0.3125,0.4883720930232558,0.4
deepseek_v4_flash,deepseek/deepseek-v4-flash,RAW,RETROSPECTIVE_COMPLIANCE,2,2,2,1.0,1.0,1.0,1.0
glm52_flagship,z-ai/glm-5.2,RAG_REVISED,IN_FLIGHT_CONTINGENCY,4,27,22,0.8148148148148148,0.6153846153846154,0.9411764705882353,0.6375
glm52_flagship,z-ai/glm-5.2,RAG_REVISED,OPTION_SELECTION,4,12,12,1.0,1.0,1.0,1.0
glm52_flagship,z-ai/glm-5.2,RAG_REVISED,PRE_FLIGHT_AUTHORIZATION,15,126,76,0.6031746031746031,0.5075757575757576,0.705894024276377,0.6176984126984127
glm52_flagship,z-ai/glm-5.2,RAG_REVISED,RESOURCE_OR_POLICY_DECISION,10,84,59,0.7023809523809523,0.6046511627906976,0.7976190476190477,0.7025
glm52_flagship,z-ai/glm-5.2,RAG_REVISED,RETROSPECTIVE_COMPLIANCE,2,2,2,1.0,1.0,1.0,1.0
glm52_flagship,z-ai/glm-5.2,RAW,IN_FLIGHT_CONTINGENCY,4,27,9,0.3333333333333333,0.2222222222222222,0.3888888888888889,0.25625
glm52_flagship,z-ai/glm-5.2,RAW,OPTION_SELECTION,4,12,10,0.8333333333333334,0.14285714285714285,1.0,0.75
glm52_flagship,z-ai/glm-5.2,RAW,PRE_FLIGHT_AUTHORIZATION,15,126,62,0.49206349206349204,0.35876438418594053,0.6220472440944882,0.5036243386243386
glm52_flagship,z-ai/glm-5.2,RAW,RESOURCE_OR_POLICY_DECISION,10,84,42,0.5,0.35,0.627906976744186,0.48999999999999994
glm52_flagship,z-ai/glm-5.2,RAW,RETROSPECTIVE_COMPLIANCE,2,2,2,1.0,1.0,1.0,1.0
meta_muse_30b,meta/muse-glimmer-30b,RAG_REVISED,IN_FLIGHT_CONTINGENCY,4,27,12,0.4444444444444444,0.3333333333333333,0.5,0.34375
meta_muse_30b,meta/muse-glimmer-30b,RAG_REVISED,OPTION_SELECTION,4,12,12,1.0,1.0,1.0,1.0
meta_muse_30b,meta/muse-glimmer-30b,RAG_REVISED,PRE_FLIGHT_AUTHORIZATION,15,126,70,0.5555555555555556,0.4461538461538462,0.6721345915415347,0.5797883597883597
meta_muse_30b,meta/muse-glimmer-30b,RAG_REVISED,RESOURCE_OR_POLICY_DECISION,10,84,49,0.5833333333333334,0.4878048780487805,0.6888888888888889,0.5775
meta_muse_30b,meta/muse-glimmer-30b,RAG_REVISED,RETROSPECTIVE_COMPLIANCE,2,2,2,1.0,1.0,1.0,1.0
meta_muse_30b,meta/muse-glimmer-30b,RAW,IN_FLIGHT_CONTINGENCY,4,27,7,0.25925925925925924,0.0625,0.45454545454545453,0.4125
meta_muse_30b,meta/muse-glimmer-30b,RAW,OPTION_SELECTION,4,12,9,0.75,0.0,1.0,0.5
meta_muse_30b,meta/muse-glimmer-30b,RAW,PRE_FLIGHT_AUTHORIZATION,15,126,51,0.40476190476190477,0.2755905511811024,0.5371900826446281,0.40669312169312166
meta_muse_30b,meta/muse-glimmer-30b,RAW,RESOURCE_OR_POLICY_DECISION,10,84,27,0.32142857142857145,0.21428571428571427,0.4111111111111111,0.315
meta_muse_30b,meta/muse-glimmer-30b,RAW,RETROSPECTIVE_COMPLIANCE,2,2,2,1.0,1.0,1.0,1.0
qwen38_flagship,qwen/qwen3.8-2.4t-a95b,RAG_REVISED,IN_FLIGHT_CONTINGENCY,4,27,17,0.6296296296296297,0.4444444444444444,0.7941176470588235,0.49375
qwen38_flagship,qwen/qwen3.8-2.4t-a95b,RAG_REVISED,OPTION_SELECTION,4,12,12,1.0,1.0,1.0,1.0
qwen38_flagship,qwen/qwen3.8-2.4t-a95b,RAG_REVISED,PRE_FLIGHT_AUTHORIZATION,15,126,73,0.5793650793650794,0.4701492537313433,0.6875124999999999,0.591957671957672
qwen38_flagship,qwen/qwen3.8-2.4t-a95b,RAG_REVISED,RESOURCE_OR_POLICY_DECISION,10,84,55,0.6547619047619048,0.55,0.7558139534883721,0.6525000000000001
qwen38_flagship,qwen/qwen3.8-2.4t-a95b,RAG_REVISED,RETROSPECTIVE_COMPLIANCE,2,2,2,1.0,1.0,1.0,1.0
qwen38_flagship,qwen/qwen3.8-2.4t-a95b,RAW,IN_FLIGHT_CONTINGENCY,4,27,15,0.5555555555555556,0.3333333333333333,0.7777777777777778,0.65
qwen38_flagship,qwen/qwen3.8-2.4t-a95b,RAW,OPTION_SELECTION,4,12,11,0.9166666666666666,0.5714285714285714,1.0,0.875
qwen38_flagship,qwen/qwen3.8-2.4t-a95b,RAW,PRE_FLIGHT_AUTHORIZATION,15,126,64,0.5079365079365079,0.4045759429726089,0.6186440677966102,0.5226719576719577
