model_id,model,scope,condition,n_scenarios,n,n_correct,accuracy,ci_low,ci_high,scenario_macro_accuracy
deepseek_v4_flash,deepseek/deepseek-v4-flash,L1_ALL_114,RAW,20,114,110,0.9649122807017544,0.9181818181818182,1.0,0.9566666666666667
deepseek_v4_flash,deepseek/deepseek-v4-flash,L2_TO_L4_SCORABLE_251,RAW,29,251,100,0.398406374501992,0.3125,0.48412698412698413,0.39396551724137935
deepseek_v4_flash,deepseek/deepseek-v4-flash,L2_TO_L4_SCORABLE_251,RAG_REVISED,29,251,152,0.6055776892430279,0.5220883534136547,0.6857142857142857,0.6146551724137931
glm52_flagship,z-ai/glm-5.2,L1_ALL_114,RAW,20,114,111,0.9736842105263158,0.9298245614035088,1.0,0.9675
glm52_flagship,z-ai/glm-5.2,L2_TO_L4_SCORABLE_251,RAW,29,251,125,0.49800796812749004,0.4048582995951417,0.5907379782379782,0.5017241379310345
glm52_flagship,z-ai/glm-5.2,L2_TO_L4_SCORABLE_251,RAG_REVISED,29,251,171,0.6812749003984063,0.6102312802115952,0.7540339106292966,0.6905172413793103
meta_muse_30b,meta/muse-glimmer-30b,L1_ALL_114,RAW,20,114,106,0.9298245614035088,0.876286205203731,0.9743589743589743,0.9295833333333334
meta_muse_30b,meta/muse-glimmer-30b,L2_TO_L4_SCORABLE_251,RAW,29,251,96,0.38247011952191234,0.2903225806451613,0.47619047619047616,0.378448275862069
meta_muse_30b,meta/muse-glimmer-30b,L2_TO_L4_SCORABLE_251,RAG_REVISED,29,251,145,0.5776892430278885,0.5020746887966805,0.657258064516129,0.5870689655172413
qwen38_flagship,qwen/qwen3.8-2.4t-a95b,L1_ALL_114,RAW,20,114,109,0.956140350877193,0.9090909090909091,0.9916666666666667,0.9525
qwen38_flagship,qwen/qwen3.8-2.4t-a95b,L2_TO_L4_SCORABLE_251,RAW,29,251,138,0.549800796812749,0.4743083003952569,0.6260171141627382,0.5560344827586207
qwen38_flagship,qwen/qwen3.8-2.4t-a95b,L2_TO_L4_SCORABLE_251,RAG_REVISED,29,251,159,0.6334661354581673,0.5584866352201258,0.7068273092369478,0.6405172413793103
