model_id,scope,n_paired,rag_minus_raw,ci_low,ci_high,raw_only_correct,rag_only_correct
qwen38_flagship,L2_SCORABLE,77,0.012987012987012988,-0.06756756756756757,0.09859154929577464,11,12
qwen38_flagship,L3_SCORABLE,98,0.10204081632653061,-0.01,0.23958333333333334,7,17
qwen38_flagship,L4_SCORABLE,76,0.13157894736842105,-0.013888888888888888,0.28378378378378377,11,21
qwen38_flagship,L2_TO_L4_SCORABLE_251,251,0.08366533864541832,0.014972857454840479,0.15953307392996108,29,50
glm52_flagship,L2_SCORABLE,77,0.07792207792207792,-0.0625,0.22077922077922077,9,15
glm52_flagship,L3_SCORABLE,98,0.19387755102040816,0.03189827127659576,0.34,6,25
glm52_flagship,L4_SCORABLE,76,0.27631578947368424,0.0875,0.4868421052631579,5,26
glm52_flagship,L2_TO_L4_SCORABLE_251,251,0.18326693227091634,0.08559718136091868,0.28333502024291496,20,66
deepseek_v4_flash,L2_SCORABLE,77,0.16883116883116883,0.0625,0.2972972972972973,7,20
deepseek_v4_flash,L3_SCORABLE,98,0.1836734693877551,0.0,0.3469387755102041,8,26
deepseek_v4_flash,L4_SCORABLE,76,0.27631578947368424,0.1,0.43247688477951574,4,25
deepseek_v4_flash,L2_TO_L4_SCORABLE_251,251,0.20717131474103587,0.11068702290076336,0.3,19,71
meta_muse_30b,L2_SCORABLE,77,0.14285714285714285,-0.0125,0.29577464788732394,6,17
meta_muse_30b,L3_SCORABLE,98,0.14285714285714285,-0.02,0.29,9,23
meta_muse_30b,L4_SCORABLE,76,0.3157894736842105,0.15779352226720655,0.47297297297297297,3,27
meta_muse_30b,L2_TO_L4_SCORABLE_251,251,0.1952191235059761,0.10275910386833409,0.2904599780118452,18,67
