model_id,scope,condition,n_scenarios,n,correct,accuracy,ci_low,ci_high
qwen38_flagship,L1_ALL_114,RAW,20,114,109,0.956140350877193,0.9090909090909091,0.9916666666666667
qwen38_flagship,L2_SCORABLE,RAW,10,77,50,0.6493506493506493,0.5064935064935064,0.7837837837837838
qwen38_flagship,L2_SCORABLE,RAG_REVISED,10,77,51,0.6623376623376623,0.5375,0.8051948051948052
qwen38_flagship,L3_SCORABLE,RAW,10,98,46,0.46938775510204084,0.35,0.59
qwen38_flagship,L3_SCORABLE,RAG_REVISED,10,98,56,0.5714285714285714,0.45,0.6836734693877551
qwen38_flagship,L4_SCORABLE,RAW,9,76,42,0.5526315789473685,0.4358974358974359,0.6621621621621622
qwen38_flagship,L4_SCORABLE,RAG_REVISED,9,76,52,0.6842105263157895,0.5657894736842105,0.7948717948717948
qwen38_flagship,L2_TO_L4_SCORABLE_251,RAW,29,251,138,0.549800796812749,0.4743083003952569,0.6260171141627382
qwen38_flagship,L2_TO_L4_SCORABLE_251,RAG_REVISED,29,251,159,0.6334661354581673,0.5584866352201258,0.7068273092369478
glm52_flagship,L1_ALL_114,RAW,20,114,111,0.9736842105263158,0.9298245614035088,1.0
glm52_flagship,L2_SCORABLE,RAW,10,77,49,0.6363636363636364,0.5135135135135134,0.7625
glm52_flagship,L2_SCORABLE,RAG_REVISED,10,77,55,0.7142857142857143,0.5844155844155844,0.8513513513513513
glm52_flagship,L3_SCORABLE,RAW,10,98,42,0.42857142857142855,0.27,0.5918367346938775
glm52_flagship,L3_SCORABLE,RAG_REVISED,10,98,61,0.6224489795918368,0.5102040816326531,0.7291666666666666
glm52_flagship,L4_SCORABLE,RAW,9,76,34,0.4473684210526316,0.2894736842105263,0.5897435897435898
glm52_flagship,L4_SCORABLE,RAG_REVISED,9,76,55,0.7236842105263158,0.6052631578947368,0.8421052631578947
glm52_flagship,L2_TO_L4_SCORABLE_251,RAW,29,251,125,0.49800796812749004,0.4048582995951417,0.5907379782379782
glm52_flagship,L2_TO_L4_SCORABLE_251,RAG_REVISED,29,251,171,0.6812749003984063,0.6102312802115952,0.7540339106292966
deepseek_v4_flash,L1_ALL_114,RAW,20,114,110,0.9649122807017544,0.9181818181818182,1.0
deepseek_v4_flash,L2_SCORABLE,RAW,10,77,37,0.4805194805194805,0.33783783783783783,0.6125
deepseek_v4_flash,L2_SCORABLE,RAG_REVISED,10,77,50,0.6493506493506493,0.5,0.8051948051948052
deepseek_v4_flash,L3_SCORABLE,RAW,10,98,36,0.3673469387755102,0.20408163265306123,0.5306122448979592
deepseek_v4_flash,L3_SCORABLE,RAG_REVISED,10,98,54,0.5510204081632653,0.40816326530612246,0.67
deepseek_v4_flash,L4_SCORABLE,RAW,9,76,27,0.35526315789473684,0.24324324324324326,0.46153846153846156
deepseek_v4_flash,L4_SCORABLE,RAG_REVISED,9,76,48,0.631578947368421,0.5,0.7692307692307693
deepseek_v4_flash,L2_TO_L4_SCORABLE_251,RAW,29,251,100,0.398406374501992,0.3125,0.48412698412698413
deepseek_v4_flash,L2_TO_L4_SCORABLE_251,RAG_REVISED,29,251,152,0.6055776892430279,0.5220883534136547,0.6857142857142857
meta_muse_30b,L1_ALL_114,RAW,20,114,106,0.9298245614035088,0.876286205203731,0.9743589743589743
meta_muse_30b,L2_SCORABLE,RAW,10,77,38,0.4935064935064935,0.3235180995475113,0.6753246753246753
meta_muse_30b,L2_SCORABLE,RAG_REVISED,10,77,49,0.6363636363636364,0.475,0.8065109108159383
meta_muse_30b,L3_SCORABLE,RAW,10,98,37,0.37755102040816324,0.23,0.5204081632653061
meta_muse_30b,L3_SCORABLE,RAG_REVISED,10,98,51,0.5204081632653061,0.41,0.625
meta_muse_30b,L4_SCORABLE,RAW,9,76,21,0.27631578947368424,0.14864864864864866,0.3974358974358974
meta_muse_30b,L4_SCORABLE,RAG_REVISED,9,76,45,0.5921052631578947,0.4864864864864865,0.7073667044809976
meta_muse_30b,L2_TO_L4_SCORABLE_251,RAW,29,251,96,0.38247011952191234,0.2903225806451613,0.47619047619047616
meta_muse_30b,L2_TO_L4_SCORABLE_251,RAG_REVISED,29,251,145,0.5776892430278885,0.5020746887966805,0.657258064516129
