model_id,scope,condition,n_scenarios,n,correct,accuracy,ci_low,ci_high
qwen38_flagship,L1_CORE_110,RAW,20,110,106,0.9636363636363636,0.918178092399404,1.0
qwen38_flagship,L2_TO_L4_ALL_254,RAW,29,254,141,0.5551181102362205,0.4807692307692308,0.6300813008130082
qwen38_flagship,L2_TO_L4_ALL_254,RAG_REVISED,29,254,162,0.6377952755905512,0.562015503875969,0.7109375
glm52_flagship,L1_CORE_110,RAW,20,110,108,0.9818181818181818,0.941747572815534,1.0
glm52_flagship,L2_TO_L4_ALL_254,RAW,29,254,128,0.5039370078740157,0.4119884615384615,0.5954198473282443
glm52_flagship,L2_TO_L4_ALL_254,RAG_REVISED,29,254,174,0.6850393700787402,0.6136363636363636,0.7578125
deepseek_v4_flash,L1_CORE_110,RAW,20,110,107,0.9727272727272728,0.9396486415882969,1.0
deepseek_v4_flash,L2_TO_L4_ALL_254,RAW,29,254,103,0.40551181102362205,0.324,0.4881889763779528
deepseek_v4_flash,L2_TO_L4_ALL_254,RAG_REVISED,29,254,155,0.610236220472441,0.5271317829457365,0.6904761904761905
meta_muse_30b,L1_CORE_110,RAW,20,110,103,0.9363636363636364,0.8909052711993888,0.978952850877193
meta_muse_30b,L2_TO_L4_ALL_254,RAW,29,254,99,0.38976377952755903,0.2992125984251969,0.48047253512596894
meta_muse_30b,L2_TO_L4_ALL_254,RAG_REVISED,29,254,148,0.5826771653543307,0.5075187969924813,0.6626984126984127
