model_id,source_kind,scope,n,n_valid,correct,accuracy
qwen38_flagship,original_invalid_as_incorrect,L1_ALL_114_RAW,114,110,108,0.9473684210526315
qwen38_flagship,original_invalid_as_incorrect,L2_TO_L4_SCORABLE_251_RAW,251,250,138,0.549800796812749
qwen38_flagship,original_invalid_as_incorrect,L2_TO_L4_SCORABLE_251_RAG_REVISED,251,248,157,0.6254980079681275
qwen38_flagship,validity_recovered,L1_ALL_114_RAW,114,114,109,0.956140350877193
qwen38_flagship,validity_recovered,L2_TO_L4_SCORABLE_251_RAW,251,251,138,0.549800796812749
qwen38_flagship,validity_recovered,L2_TO_L4_SCORABLE_251_RAG_REVISED,251,251,159,0.6334661354581673
glm52_flagship,original_invalid_as_incorrect,L1_ALL_114_RAW,114,111,109,0.956140350877193
glm52_flagship,original_invalid_as_incorrect,L2_TO_L4_SCORABLE_251_RAW,251,220,115,0.4581673306772908
glm52_flagship,original_invalid_as_incorrect,L2_TO_L4_SCORABLE_251_RAG_REVISED,251,199,146,0.5816733067729084
glm52_flagship,validity_recovered,L1_ALL_114_RAW,114,114,111,0.9736842105263158
glm52_flagship,validity_recovered,L2_TO_L4_SCORABLE_251_RAW,251,251,125,0.49800796812749004
glm52_flagship,validity_recovered,L2_TO_L4_SCORABLE_251_RAG_REVISED,251,251,171,0.6812749003984063
deepseek_v4_flash,original_invalid_as_incorrect,L1_ALL_114_RAW,114,112,108,0.9473684210526315
deepseek_v4_flash,original_invalid_as_incorrect,L2_TO_L4_SCORABLE_251_RAW,251,223,97,0.38645418326693226
deepseek_v4_flash,original_invalid_as_incorrect,L2_TO_L4_SCORABLE_251_RAG_REVISED,251,217,136,0.5418326693227091
deepseek_v4_flash,validity_recovered,L1_ALL_114_RAW,114,114,110,0.9649122807017544
deepseek_v4_flash,validity_recovered,L2_TO_L4_SCORABLE_251_RAW,251,251,100,0.398406374501992
deepseek_v4_flash,validity_recovered,L2_TO_L4_SCORABLE_251_RAG_REVISED,251,251,152,0.6055776892430279
meta_muse_30b,original_invalid_as_incorrect,L1_ALL_114_RAW,114,114,106,0.9298245614035088
meta_muse_30b,original_invalid_as_incorrect,L2_TO_L4_SCORABLE_251_RAW,251,251,96,0.38247011952191234
meta_muse_30b,original_invalid_as_incorrect,L2_TO_L4_SCORABLE_251_RAG_REVISED,251,251,145,0.5776892430278885
meta_muse_30b,validity_recovered,L1_ALL_114_RAW,114,114,106,0.9298245614035088
meta_muse_30b,validity_recovered,L2_TO_L4_SCORABLE_251_RAW,251,251,96,0.38247011952191234
meta_muse_30b,validity_recovered,L2_TO_L4_SCORABLE_251_RAG_REVISED,251,251,145,0.5776892430278885
