model_id,task_type,n,raw_correct_original_invalid_as_incorrect,rag_correct_original_invalid_as_incorrect,gain_original_invalid_as_incorrect,raw_correct_validity_recovered,rag_correct_validity_recovered,gain_validity_recovered
qwen38_flagship,PRE_FLIGHT_AUTHORIZATION,126,64,73,0.07142857142857142,64,73,0.07142857142857142
glm52_flagship,PRE_FLIGHT_AUTHORIZATION,126,56,67,0.0873015873015873,62,76,0.1111111111111111
deepseek_v4_flash,PRE_FLIGHT_AUTHORIZATION,126,49,63,0.1111111111111111,50,70,0.15873015873015872
meta_muse_30b,PRE_FLIGHT_AUTHORIZATION,126,51,70,0.15079365079365079,51,70,0.15079365079365079
qwen38_flagship,IN_FLIGHT_CONTINGENCY,27,15,17,0.07407407407407407,15,17,0.07407407407407407
glm52_flagship,IN_FLIGHT_CONTINGENCY,27,8,16,0.2962962962962963,9,22,0.48148148148148145
deepseek_v4_flash,IN_FLIGHT_CONTINGENCY,27,8,12,0.14814814814814814,8,17,0.3333333333333333
meta_muse_30b,IN_FLIGHT_CONTINGENCY,27,7,12,0.18518518518518517,7,12,0.18518518518518517
qwen38_flagship,RESOURCE_OR_POLICY_DECISION,84,46,54,0.09523809523809523,46,55,0.10714285714285714
glm52_flagship,RESOURCE_OR_POLICY_DECISION,84,40,49,0.10714285714285714,42,59,0.20238095238095238
deepseek_v4_flash,RESOURCE_OR_POLICY_DECISION,84,32,48,0.19047619047619047,34,51,0.20238095238095238
meta_muse_30b,RESOURCE_OR_POLICY_DECISION,84,27,49,0.2619047619047619,27,49,0.2619047619047619
