model_id,task_type,n,raw_correct,rag_correct,raw_accuracy,rag_accuracy,gain_pp
qwen38_flagship,ALL_SCORABLE,233,123,144,0.5278969957081545,0.6180257510729614,9.012875536480687
qwen38_flagship,PRE_FLIGHT_AUTHORIZATION,119,58,66,0.48739495798319327,0.5546218487394958,6.722689075630252
qwen38_flagship,IN_FLIGHT_CONTINGENCY,27,15,17,0.5555555555555556,0.6296296296296297,7.407407407407407
qwen38_flagship,RESOURCE_OR_POLICY_DECISION,75,39,49,0.52,0.6533333333333333,13.333333333333334
glm52_flagship,ALL_SCORABLE,233,112,155,0.48068669527896996,0.6652360515021459,18.454935622317596
glm52_flagship,PRE_FLIGHT_AUTHORIZATION,119,56,69,0.47058823529411764,0.5798319327731093,10.92436974789916
glm52_flagship,IN_FLIGHT_CONTINGENCY,27,9,22,0.3333333333333333,0.8148148148148148,48.148148148148145
glm52_flagship,RESOURCE_OR_POLICY_DECISION,75,37,52,0.49333333333333335,0.6933333333333334,20.0
deepseek_v4_flash,ALL_SCORABLE,233,90,137,0.38626609442060084,0.5879828326180258,20.17167381974249
deepseek_v4_flash,PRE_FLIGHT_AUTHORIZATION,119,44,63,0.3697478991596639,0.5294117647058824,15.966386554621849
deepseek_v4_flash,IN_FLIGHT_CONTINGENCY,27,8,17,0.2962962962962963,0.6296296296296297,33.333333333333336
deepseek_v4_flash,RESOURCE_OR_POLICY_DECISION,75,31,45,0.41333333333333333,0.6,18.666666666666668
meta_muse_30b,ALL_SCORABLE,233,84,130,0.3605150214592275,0.5579399141630901,19.742489270386265
meta_muse_30b,PRE_FLIGHT_AUTHORIZATION,119,45,63,0.37815126050420167,0.5294117647058824,15.126050420168067
meta_muse_30b,IN_FLIGHT_CONTINGENCY,27,7,12,0.25925925925925924,0.4444444444444444,18.51851851851852
meta_muse_30b,RESOURCE_OR_POLICY_DECISION,75,23,43,0.30666666666666664,0.5733333333333334,26.666666666666668
